"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","setup","Default Suite","Tue Jul 22 13:11:22 GMT+03:00 2025","broken","Tue Jul 22 13:11:22 GMT+03:00 2025","com.syarah.preprod.testcases.AddCarTest","SyarahProject","com.syarah.preprod.testcases.AddCarTest","setup"
"","2708","shouldBeAbletoSelectcar","Surefire suite","Tue Jul 22 21:57:16 GMT+03:00 2025","passed","Tue Jul 22 21:57:19 GMT+03:00 2025","com.syarah.preprod.testcases.CarSelectionTest","Surefire test","com.syarah.preprod.testcases.CarSelectionTest","shouldBeAbletoSelectcar"
"","28936","shouldReserveCarSuccessfullyWithPriceValidation","Surefire suite","Tue Jul 22 21:57:21 GMT+03:00 2025","broken","Tue Jul 22 21:57:50 GMT+03:00 2025","com.syarah.preprod.testcases.CheckoutTest","Surefire test","com.syarah.preprod.testcases.CheckoutTest","shouldReserveCarSuccessfullyWithPriceValidation"
"","0","teardown","Default Suite","Tue Jul 22 03:26:58 GMT+03:00 2025","broken","Tue Jul 22 03:26:58 GMT+03:00 2025","com.syarah.preprod.testcases.AddCarTest","SyarahProject","com.syarah.preprod.testcases.AddCarTest","teardown"
"","7216","shouldReserveCarSuccessfully","Default Suite","Tue Jul 22 20:37:11 GMT+03:00 2025","passed","Tue Jul 22 20:37:19 GMT+03:00 2025","com.syarah.preprod.testcases.CheckoutTest","SyarahProject","com.syarah.preprod.testcases.CheckoutTest","shouldReserveCarSuccessfully"
"","10016","shouldCompletePaymentSuccessfully","Surefire suite","Tue Jul 22 21:57:53 GMT+03:00 2025","passed","Tue Jul 22 21:58:03 GMT+03:00 2025","com.syarah.preprod.testcases.PaymentTest","Surefire test","com.syarah.preprod.testcases.PaymentTest","shouldCompletePaymentSuccessfully"
"","1","shouldbeAbletoAddcart","Default Suite","Tue Jul 22 13:11:22 GMT+03:00 2025","skipped","Tue Jul 22 13:11:22 GMT+03:00 2025","com.syarah.preprod.testcases.AddCarTest","SyarahProject","com.syarah.preprod.testcases.AddCarTest","shouldbeAbletoAddcart"
"","2","setup","Default Suite","Tue Jul 22 14:15:48 GMT+03:00 2025","broken","Tue Jul 22 14:15:48 GMT+03:00 2025","com.syarah.preprod.testcases.CarSelectionTest","SyarahProject","com.syarah.preprod.testcases.CarSelectionTest","setup"
"","40094","shouldReserveCarSuccessfullyAndValidatePrice","Default Suite","Tue Jul 22 16:41:04 GMT+03:00 2025","broken","Tue Jul 22 16:41:44 GMT+03:00 2025","com.syarah.preprod.testcases.CheckoutTest","SyarahProject","com.syarah.preprod.testcases.CheckoutTest","shouldReserveCarSuccessfullyAndValidatePrice"
"","20081","shouldbeAbleToReserveCar","Default Suite","Tue Jul 22 14:59:55 GMT+03:00 2025","broken","Tue Jul 22 15:00:15 GMT+03:00 2025","com.syarah.preprod.testcases.CheckoutTest","SyarahProject","com.syarah.preprod.testcases.CheckoutTest","shouldbeAbleToReserveCar"
